Player1,Player2,Player3,Player4,Player5,Player6,Rounds,Winner
Basic,Smart,Basic,Smart,Smart,,2433,Smart
Basic,Smart,Smart,,,,182,Smart
Smart,Smart,Smart,Smart,,,4020,Smart
Smart,Basic,Basic,Smart,,,421,Basic
Basic,Basic,Basic,,,,114,Basic
Basic,Basic,Smart,Smart,Smart,,2374,Basic
Basic,Basic,Basic,Basic,,,1655,Basic
Basic,Smart,Basic,Smart,,,7321,Basic
Basic,Smart,,,,,120,Smart
Basic,Basic,Basic,Basic,Basic,Smart,498,Basic
Smart,Smart,Basic,,,,535,Smart
Smart,Smart,Smart,Basic,Basic,Basic,470,Smart
Smart,Smart,Basic,Basic,Smart,Smart,438,Basic
Smart,Basic,Smart,Smart,,,1211,Smart
Smart,Smart,Smart,Basic,Basic,Basic,222,Basic
Smart,Basic,Basic,Basic,Smart,,2156,Basic
Basic,Basic,Basic,Smart,Smart,,20880,Basic
Basic,Basic,Smart,Basic,Smart,,1006,Smart
Smart,Smart,Smart,Smart,,,1003,Smart
Smart,Smart,Basic,Smart,Smart,Basic,706,Basic
Smart,Basic,Smart,Smart,Smart,,607,Smart
Smart,Smart,Smart,Smart,Smart,Smart,1301,Smart
Basic,Basic,,,,,78,Basic
Basic,Basic,Basic,,,,72,Basic
Smart,Smart,Basic,Smart,,,1050,Smart
Smart,Smart,,,,,310,Smart
Smart,Basic,Smart,Basic,,,227,Smart
Basic,Smart,Basic,Smart,,,280,Smart
Smart,Smart,,,,,3733,Smart
Basic,Basic,,,,,1066,Basic
Smart,Smart,,,,,169,Smart
Basic,Basic,Basic,Basic,,,712,Basic
Smart,Basic,Smart,Basic,Smart,Smart,666,Basic
Basic,Smart,Basic,Smart,Smart,Basic,258,Smart
Smart,Smart,Basic,Basic,,,5470,Smart
Smart,Smart,Smart,Basic,,,5292,Smart
Basic,Smart,Basic,Smart,Smart,,295,Smart
Basic,Basic,Basic,,,,139,Basic
Smart,Smart,Smart,,,,468,Smart
Smart,Smart,Basic,Basic,Smart,Smart,1322,Smart
Basic,Basic,Basic,,,,409,Basic
Smart,Smart,,,,,165,Smart
Smart,Basic,Basic,,,,7348,Basic
Basic,Smart,Basic,,,,285,Basic
Basic,Smart,Smart,Basic,Smart,,854,Smart
Smart,Basic,Basic,,,,1499,Basic
Smart,Smart,Basic,,,,668,Basic
Smart,Basic,,,,,219,Basic
Basic,Smart,Smart,Basic,Basic,,203,Smart
Smart,Smart,Basic,Smart,Basic,Basic,224,Smart
Basic,Basic,Basic,Smart,,,648,Smart
Basic,Basic,Smart,Basic,Basic,,1329,Basic
Basic,Smart,Smart,Basic,,,464,Smart
Smart,Smart,Smart,Basic,Smart,Basic,276,Smart
Basic,Basic,Basic,Smart,Basic,Basic,686,Basic
Smart,Basic,Basic,Smart,Basic,,452,Basic
Smart,Basic,Basic,Basic,,,235,Basic
Smart,Basic,Smart,Smart,Smart,,193,Smart
Basic,Smart,,,,,177,Basic
Smart,Smart,Basic,Basic,Basic,,688,Smart
Basic,Basic,Basic,Smart,Basic,Smart,564,Basic
Basic,Smart,Smart,Basic,,,700,Smart
Basic,Basic,,,,,475,Basic
Basic,Basic,Smart,Basic,Smart,,597,Smart
Smart,Basic,Basic,Smart,Basic,,43069,Basic
Basic,Smart,Smart,,,,469,Basic
Basic,Smart,Smart,Smart,,,1223,Smart
Basic,Basic,Smart,Basic,,,691,Smart
Smart,Basic,Smart,Basic,Basic,Basic,610,Smart
Basic,Basic,Smart,Smart,,,180,Smart
Basic,Basic,Smart,Basic,,,342,Basic
Smart,Smart,Basic,Basic,Basic,,796,Basic
Smart,Basic,Smart,,,,658,Smart
Basic,Smart,Basic,Smart,Smart,,1884,Smart
Basic,Basic,Smart,Smart,Basic,,1138,Basic
Basic,Basic,Basic,Basic,Smart,,1045,Smart
Basic,Smart,Basic,Basic,,,403,Smart
Smart,Smart,Basic,,,,260,Smart
Basic,Basic,Basic,Basic,Smart,,10743,Basic
Basic,Smart,,,,,73,Basic
Basic,Smart,Basic,,,,641,Basic
Smart,Basic,Smart,Basic,Basic,,734,Basic
Smart,Basic,Basic,Basic,,,1039,Smart
Smart,Smart,Basic,,,,1330,Smart
Basic,Basic,Smart,Basic,Basic,Smart,2188,Smart
Basic,Basic,Smart,Smart,,,810,Smart
Basic,Basic,Basic,Smart,Basic,Basic,582,Basic
Smart,Smart,Basic,Basic,Smart,Smart,748,Basic
Basic,Smart,Smart,Smart,Smart,Smart,1696,Smart
Smart,Basic,Basic,Smart,Basic,Smart,159,Smart
Smart,Basic,Basic,Basic,Basic,Basic,11342,Basic
Basic,Basic,Basic,,,,332,Basic
Smart,Smart,Smart,Basic,,,543,Smart
Smart,Smart,Smart,,,,724,Smart
Basic,Basic,Basic,Smart,,,172,Smart
Smart,Basic,Basic,Basic,Smart,,777,Smart
Basic,Basic,Basic,Smart,Smart,Basic,458,Basic
Smart,Basic,Smart,Smart,Smart,Basic,1369,Basic
Smart,Basic,Smart,Smart,,,268,Smart
Smart,Smart,Basic,Basic,,,1166,Smart
Smart,Basic,Basic,Smart,Smart,,1031,Smart
Basic,Basic,Basic,Smart,,,1308,Basic
Basic,Smart,,,,,492,Basic
Basic,Smart,Smart,Smart,Basic,Smart,364,Smart
Basic,Basic,,,,,369,Basic
Smart,Smart,Smart,Smart,Basic,Basic,391,Smart
Smart,Smart,Basic,Basic,Smart,,5002,Basic
Basic,Smart,Smart,Basic,Smart,Basic,1956,Basic
Smart,Basic,Basic,,,,441,Smart
Basic,Basic,Smart,,,,1752,Basic
Smart,Basic,Basic,Smart,Basic,,3333,Smart
Basic,Smart,,,,,171,Smart
Basic,Basic,,,,,123,Basic
Basic,Smart,,,,,156,Basic
Basic,Basic,Smart,Smart,Smart,,777,Smart
Basic,Basic,,,,,387,Basic
Basic,Smart,Basic,Basic,Smart,Smart,453,Basic
Smart,Basic,,,,,60,Basic
Smart,Basic,Smart,Basic,Smart,Basic,275,Smart
Smart,Smart,Smart,Smart,Smart,Basic,1490,Smart
Basic,Smart,Smart,Smart,Smart,,551,Smart
Smart,Smart,Basic,Smart,Smart,Basic,457,Smart
Smart,Basic,Basic,Smart,Smart,Smart,570,Smart
Smart,Smart,Basic,Basic,Basic,Basic,624,Smart
Smart,Basic,,,,,78,Smart
Smart,Basic,Basic,Basic,,,7589,Smart
Smart,Smart,Basic,,,,1697,Smart
Basic,Smart,Basic,Basic,Smart,Basic,308,Smart
Basic,Smart,Basic,Smart,Smart,,2711,Smart
Basic,Basic,Basic,,,,28186,Basic
Basic,Smart,Smart,Smart,Basic,Basic,419,Smart
Basic,Smart,Smart,,,,359,Smart
Smart,Smart,Smart,Smart,Smart,,2814,Smart
Basic,Smart,Smart,Smart,Smart,,3709,Smart
Smart,Basic,Basic,,,,962,Smart
Smart,Basic,Smart,Basic,,,878,Smart
Smart,Basic,,,,,150,Basic
Smart,Smart,Basic,,,,22930,Smart
Basic,Smart,Smart,,,,187,Smart
Smart,Smart,Smart,Basic,,,807,Smart
Smart,Smart,Smart,Basic,Smart,,569,Smart
Smart,Smart,Smart,,,,271,Smart
Basic,Smart,,,,,723,Smart
Smart,Smart,Basic,Smart,Basic,Basic,322,Basic
Smart,Smart,,,,,180,Smart
Smart,Smart,Basic,Basic,Smart,Basic,708,Basic
Smart,Smart,Basic,Basic,Basic,,1147,Smart
Basic,Basic,Smart,Basic,Smart,Basic,261739,Basic
Basic,Smart,Basic,Basic,,,1132,Smart
Smart,Smart,Basic,Basic,Smart,Smart,1240,Smart
Basic,Basic,Basic,Smart,Basic,,1090,Smart
Basic,Smart,,,,,1102,Basic
Smart,Smart,Basic,,,,860,Smart
Basic,Basic,Smart,,,,35728,Basic
Basic,Basic,Basic,Smart,Smart,,3122,Smart
Smart,Smart,,,,,351,Smart
Smart,Basic,,,,,156,Basic
Smart,Smart,Basic,Smart,,,471,Smart
Basic,Basic,Smart,Smart,Smart,Basic,681,Smart
Basic,Smart,Basic,,,,10125,Basic
Smart,Smart,Basic,,,,3859,Smart
Basic,Basic,,,,,66,Basic
Basic,Smart,Smart,Basic,Basic,,4600,Basic
Basic,Smart,Smart,Basic,,,1269,Smart
Basic,Basic,Smart,Smart,Basic,Basic,1538,Basic
Basic,Smart,Smart,Smart,Smart,Basic,348,Smart
Smart,Basic,Basic,,,,9212,Basic
Smart,Basic,,,,,54,Smart
Smart,Smart,Smart,,,,574,Smart
Smart,Basic,Smart,Smart,Smart,Smart,22849,Smart
Basic,Basic,Smart,Smart,Basic,Basic,447,Smart
Basic,Smart,Basic,Smart,,,2299,Smart
Smart,Smart,Basic,,,,174,Smart
Smart,Smart,Smart,Smart,Basic,,762,Smart
Basic,Basic,Basic,,,,170,Basic
Basic,Basic,Smart,Smart,,,538,Smart
Basic,Smart,,,,,229,Basic
Basic,Basic,Basic,,,,517,Basic
Basic,Basic,Smart,,,,239,Basic
Smart,Basic,,,,,69,Smart
Smart,Smart,,,,,406,Smart
Smart,Smart,Smart,Basic,Smart,,1119,Smart
Basic,Basic,Smart,,,,761,Smart
Basic,Smart,Smart,Basic,Basic,Smart,526,Smart
Basic,Basic,Basic,,,,17676,Basic
Basic,Smart,Basic,Smart,Basic,,642,Smart
Basic,Basic,Basic,,,,50762,Basic
Basic,Basic,Smart,Basic,Basic,Smart,238,Smart
Basic,Smart,Basic,,,,246,Basic
Basic,Basic,Smart,Basic,,,3444,Basic
Basic,Basic,,,,,198,Basic
Smart,Basic,,,,,48,Basic
Smart,Basic,Smart,Basic,Smart,Basic,336,Smart
Smart,Basic,Smart,Smart,Basic,Smart,4829,Smart
Basic,Basic,Basic,Smart,Smart,Smart,731,Basic
Smart,Basic,Basic,,,,186,Basic
Smart,Smart,Smart,Smart,,,218,Smart
Smart,Basic,Basic,Smart,Basic,,169,Smart
Smart,Smart,Smart,Smart,Smart,,1278,Smart
Basic,Smart,Smart,Smart,Smart,Smart,441,Smart
Smart,Smart,Smart,Smart,Basic,,725,Smart
Basic,Basic,Basic,Smart,,,703,Smart
Smart,Smart,Basic,,,,532,Smart
Basic,Basic,Smart,Smart,Smart,Basic,520,Smart
Basic,Basic,Smart,Basic,Smart,,1919,Smart
Basic,Smart,Smart,Smart,,,377,Basic
Basic,Smart,Smart,Smart,Basic,Smart,3639,Smart
Basic,Smart,,,,,303,Basic
Basic,Basic,Smart,Smart,Smart,Smart,154,Smart
Smart,Basic,Basic,,,,391,Smart
Smart,Smart,Basic,Basic,Basic,,715,Smart
Smart,Basic,Basic,Smart,Basic,,411,Smart
Basic,Smart,Smart,,,,3877,Smart
Smart,Basic,Smart,Smart,Smart,,481,Smart
Basic,Smart,Basic,Smart,,,5730,Smart
Basic,Smart,,,,,183,Smart
Smart,Basic,Smart,Basic,Basic,Smart,990,Smart
Basic,Basic,Basic,Basic,,,2763,Basic
Smart,Smart,Basic,Basic,Smart,Smart,306,Smart
Smart,Smart,Basic,Smart,Basic,,699,Basic
Basic,Basic,,,,,99,Basic
Smart,Smart,Smart,Basic,Basic,Basic,544,Smart
Smart,Basic,,,,,90,Smart
Basic,Basic,Basic,Smart,,,3489,Smart
Basic,Smart,Smart,Basic,Smart,,501,Smart
Smart,Basic,Smart,Smart,Basic,Basic,559,Basic
Smart,Basic,Basic,Basic,,,1197,Smart
Basic,Smart,,,,,165,Smart
Basic,Smart,Basic,Basic,Basic,,383,Smart
Smart,Smart,Basic,Smart,Basic,,4805,Smart
Smart,Basic,Smart,Smart,,,1015,Smart
Basic,Basic,,,,,45,Basic
Basic,Basic,Smart,Basic,Smart,Smart,452,Smart
Smart,Basic,Smart,Basic,Basic,Smart,629,Basic
Smart,Smart,,,,,331,Smart
Basic,Smart,Smart,Smart,,,254,Smart
Basic,Basic,Smart,Basic,Smart,Basic,983,Basic
Basic,Basic,Smart,Smart,Smart,,1471,Smart
Smart,Basic,Basic,Smart,Smart,,1185,Smart
Basic,Smart,Smart,Smart,Smart,Basic,490,Smart
Smart,Basic,Basic,Smart,Smart,Basic,877,Smart
Basic,Basic,Basic,Smart,Basic,,557,Smart
Smart,Smart,Basic,Basic,,,625,Basic
Smart,Smart,Smart,Basic,,,12808,Smart
